danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration,time_signature,label
0.173,0.167,2,-17.398,major,0.0409,0.923,0.0124,0.11,0.0329,71.746,312400,1,1
0.513,0.662,11,-12.787,major,0.0435,0.813,0.18,0.288,0.737,101.275,230520,4,1
0.59,0.94,10,-8.162,major,0.133,0.434,0.00202,0.102,0.657,175.927,257840,4,1
0.34,0.973,1,-3.599,minor,0.248,6.64E-05,0.813,0.319,0.17,114.078,233693,4,0
0.504,0.647,7,-5.871,major,0.0359,0.0276,0,0.152,0.235,139.883,226387,4,1
0.594,0.872,1,-2.204,major,0.0335,0.402,3.02E-05,0.345,0.846,145.115,192627,4,0
0.276,0.0652,9,-12.904,major,0.036,0.881,0,0.102,0.102,55.747,259307,4,1
0.703,0.867,6,-4.292,major,0.0453,0.107,0,0.119,0.541,128.008,213708,4,1
0.62,0.679,7,-7.007,major,0.0272,0.0586,0.000256,0.19,0.635,112.011,298600,4,1
0.516,0.605,0,-7.988,major,0.0565,0.479,4.55E-06,0.97,0.44,112.132,187053,4,1
0.503,0.618,7,-6.06,minor,0.0299,0.379,0,0.114,0.236,81.907,233560,4,1
0.542,0.599,9,-6.281,minor,0.0276,0.201,0,0.0486,0.398,117.993,204653,4,0
0.36,0.492,1,-10.325,major,0.0431,0.811,0,0.276,0.287,135.455,344867,4,1
0.544,0.403,5,-10.548,major,0.428,0.68,0,0.584,0.586,145.101,303360,3,1
0.803,0.631,8,-4.213,major,0.0444,0.102,7.39E-06,0.0858,0.659,104.999,216575,4,0
0.366,0.139,7,-19.978,major,0.039,0.885,0.913,0.0725,0.314,139.478,352000,4,1
0.767,0.271,0,-9.23,major,0.0531,0.572,0.0929,0.162,0.637,124.042,244173,4,1
0.542,0.76,0,-10.175,major,0.0546,0.291,6.62E-06,0.268,0.626,170.182,233333,4,1
0.825,0.832,5,-5.853,minor,0.0403,0.00587,0.000789,0.114,0.713,122.021,220627,4,1
0.578,0.848,1,-5.092,major,0.0882,0.00609,0.00436,0.106,0.341,178.139,251800,4,0
0.38,0.0993,2,-20.567,major,0.0509,0.914,2.32E-05,0.0605,0.447,174.874,165427,4,1
0.686,0.372,3,-11.961,major,0.0358,0.639,0,0.132,0.308,122.953,212293,4,1
0.5,0.335,7,-11.136,major,0.0291,0.796,0.857,0.141,0.621,145.327,166093,4,1
0.649,0.29,5,-9.5,major,0.0781,0.91,0,0.355,0.697,86.345,108027,3,0
0.708,0.779,7,-6.28,major,0.0787,0.421,0.00176,0.115,0.452,142.012,218228,4,1
0.83,0.768,11,-5.564,minor,0.264,0.0117,0.00017,0.0743,0.654,125.972,204879,4,0
0.588,0.909,1,-4.113,major,0.0704,0.00419,0.00129,0.243,0.748,159.019,209973,4,0
0.668,0.514,6,-6.936,minor,0.359,0.281,0,0.13,0.663,126.913,182520,5,0
0.686,0.652,5,-4.512,minor,0.0407,0.00969,1.46E-05,0.0776,0.568,128.006,225000,4,1
0.743,0.771,5,-7.648,minor,0.319,0.396,0.000828,0.445,0.766,171.935,229240,4,0
0.369,0.762,10,-8.993,major,0.0464,0.22,2.80E-05,0.579,0.639,84.957,302107,4,1
0.689,0.815,9,-3.76,major,0.0297,0.457,0,0.115,0.751,112.987,205667,4,0
0.558,0.718,5,-5.691,minor,0.0331,0.14,0,0.301,0.474,127.992,238027,4,1
0.321,0.955,10,-2.749,minor,0.146,0.00464,0.00897,0.269,0.34,167.467,189480,4,1
0.908,0.928,1,-5.972,major,0.173,0.00146,0.853,0.0532,0.208,128.024,393333,4,0
0.769,0.764,11,-3.522,minor,0.175,0.194,0,0.136,0.592,89.991,201200,4,0
0.841,0.729,6,-3.047,minor,0.239,0.0384,0,0.276,0.43,132.073,195474,4,0
0.707,0.758,4,-4.511,minor,0.0917,0.0399,0,0.141,0.663,97.037,197355,4,0
0.546,0.915,5,-3.783,major,0.0435,0.087,2.24E-06,0.341,0.92,170.15,153173,4,0
0.692,0.466,0,-10.741,major,0.0292,0.743,0.109,0.1,0.576,114.999,266200,4,1
0.768,0.768,0,-6.699,major,0.253,0.142,0,0.0664,0.467,136.943,247040,4,0
0.322,0.54,1,-6.288,minor,0.0273,0.769,0,0.12,0.179,93.776,244293,4,1
0.532,0.859,1,-4.106,major,0.142,0.0662,0,0.684,0.937,118.919,199796,4,0
0.429,0.516,4,-7.709,major,0.0297,0.088,4.82E-05,0.301,0.492,80.933,247320,4,1
0.321,0.738,5,-7.067,minor,0.0666,0.206,0.000314,0.961,0.339,104.708,302307,4,1
0.857,0.441,0,-6.649,major,0.0452,0.197,0.00123,0.108,0.637,91.977,208720,4,0
0.759,0.917,0,-4.023,major,0.055,0.189,0,0.616,0.953,126.027,202000,4,0
0.373,0.0979,1,-19.385,major,0.0484,0.859,0,0.0554,0.164,148.563,268000,4,1
0.522,0.764,10,-6.998,major,0.0352,0.0054,0.00142,0.287,0.459,117.021,286560,4,1
0.4,0.829,2,-4.577,minor,0.0419,0.0349,0,0.237,0.52,152.078,182920,4,1
0.646,0.707,7,-7.388,major,0.0347,0.456,0,0.329,0.79,123.983,205386,4,0
0.0826,0.183,2,-18.629,minor,0.0474,0.877,0.844,0.0777,0.0385,175.432,205440,4,1
0.533,0.889,1,-4.963,minor,0.095,0.164,0.0011,0.089,0.679,106.95,180918,4,0
0.696,0.315,11,-15.067,minor,0.0318,0.237,4.06E-05,0.131,0.221,112.998,323787,4,1
0.844,0.79,4,-5.695,major,0.0321,0.189,0.0205,0.0774,0.967,138.852,206027,4,1
0.911,0.6,6,-8.049,minor,0.289,0.0838,0.000113,0.338,0.254,96.01,172954,4,0
0.408,0.202,9,-14.05,minor,0.0376,0.938,2.11E-06,0.0982,0.119,86.476,295693,3,1
0.499,0.235,4,-9.564,minor,0.0396,0.862,0.000224,0.281,0.603,129.747,133467,4,1
0.606,0.71,1,-6.058,major,0.0528,0.381,0,0.103,0.505,107.85,273455,4,1
0.401,0.416,0,-10.067,major,0.0417,0.804,0,0.0957,0.547,66.47,201484,3,1
0.683,0.703,5,-5.278,major,0.419,0.0908,0,0.511,0.348,90.029,141367,4,0
0.774,0.431,1,-8.407,major,0.346,0.000146,1.99E-05,0.112,0.358,201.843,181400,4,0
0.507,0.752,4,-4.812,minor,0.0356,0.047,0,0.219,0.188,133.001,263827,4,1
0.81,0.221,5,-11.005,major,0.0429,0.601,0.21,0.184,0.799,109.96,136413,4,1
0.296,0.185,0,-12.429,major,0.0328,0.832,1.24E-05,0.111,0.205,86.294,186794,4,1
0.596,0.92,7,-6.638,major,0.0363,0.602,1.02E-05,0.076,0.967,164.301,196587,4,0
0.586,0.877,8,-2.373,major,0.105,0.000924,0.0811,0.0723,0.47,125.014,227741,4,1
0.303,0.0714,8,-26.545,major,0.044,0.939,0.535,0.0994,0.316,85.24,212573,4,1
0.596,0.8,11,-6.914,minor,0.319,0.0226,0,0.303,0.5,79.934,305173,4,0
0.797,0.654,9,-12.652,major,0.0389,0.206,0.00214,0.0641,0.962,134.055,244240,4,1
0.702,0.987,7,-2.711,major,0.148,0.00347,0.0256,0.281,0.254,99.982,174201,4,0
0.475,0.579,5,-4.096,major,0.0334,0.609,0,0.0756,0.46,178.151,182747,4,1
0.511,0.304,0,-11.096,major,0.0279,0.845,1.03E-05,0.0741,0.183,112.379,239767,3,1
0.733,0.907,4,-4.002,minor,0.158,0.0264,1.13E-06,0.1,0.66,96.053,231480,4,0
0.55,0.333,0,-14.012,major,0.0409,0.481,0.00448,0.235,0.173,127.93,343493,4,1
0.426,0.619,9,-6.751,major,0.0768,0.808,0,0.11,0.374,148.188,161173,4,1
0.39,0.302,0,-10.362,major,0.0379,0.849,0.000191,0.122,0.241,109.394,184667,3,1
0.534,0.911,9,-2.826,major,0.0441,0.000111,0.000406,0.078,0.672,139.02,234093,4,1
0.715,0.456,2,-14.894,major,0.036,0.47,4.72E-05,0.281,0.75,126.185,198587,4,1
0.653,0.676,5,-6.318,major,0.031,0.0273,0.0215,0.128,0.597,125.027,237813,4,1
0.61,0.652,1,-5.788,major,0.0232,0.0756,0.000237,0.536,0.725,95.066,212608,4,1
0.717,0.621,11,-7.588,minor,0.0605,0.00403,0,0.144,0.721,133.014,248560,4,1
0.74,0.63,11,-6.735,major,0.0338,0.446,0,0.08,0.461,95.014,209547,4,1
0.47,0.625,1,-9.228,major,0.068,0.554,0.000273,0.924,0.37,138.215,241187,4,1
0.107,0.979,1,-5.031,major,0.124,2.74E-06,0.93,0.475,0.0605,91.066,277012,4,0
0.44,0.975,11,-2.024,major,0.0806,0.000238,0.0159,0.407,0.55,147.938,290427,4,0
0.574,0.899,8,-3.741,major,0.0311,0.228,3.70E-06,0.135,0.959,171.847,178707,4,0
0.731,0.897,3,-4.962,major,0.03,0.477,0.000584,0.0804,0.953,119.33,183987,4,0
0.814,0.779,11,-3.271,major,0.235,0.175,0.000671,0.0605,0.53,93.43,268005,4,0
0.641,0.915,1,-2.608,major,0.0599,0.0012,0,0.0967,0.352,143.424,227520,4,0
0.311,0.147,10,-22.533,major,0.0567,0.983,0,0.107,0.396,77.834,124067,4,1
0.371,0.823,7,-6.766,major,0.0568,0.0246,0,0.0894,0.478,188.055,262080,4,0
0.25,0.144,7,-12.935,major,0.041,0.893,0,0.296,0.264,175.22,211733,3,1
0.564,0.377,5,-9.477,major,0.0239,0.568,0,0.104,0.453,100.035,242893,4,1
0.778,0.615,7,-6.529,major,0.0384,0.0126,1.44E-06,0.108,0.645,120.045,193467,4,1
0.47,0.299,2,-17.148,major,0.0379,0.756,0.514,0.278,0.541,130.595,130227,4,1
0.88,0.413,0,-8.459,major,0.0462,0.586,0.000833,0.0693,0.418,101.991,200413,4,1
0.77,0.83,0,-3.975,minor,0.307,0.0876,2.32E-06,0.0566,0.49,140.071,221749,4,0
0.768,0.485,6,-8.435,minor,0.0825,0.102,0,0.128,0.276,140.016,237573,4,0
0.704,0.745,1,-5.643,minor,0.142,0.733,0,0.261,0.633,133.971,81760,3,1
0.664,0.844,5,-5.012,minor,0.0405,0.00635,0.00285,0.542,0.525,142.056,206197,4,0
0.411,0.699,1,-9.261,minor,0.0742,0.275,0.000187,0.7,0.242,97.133,320920,4,1
0.624,0.668,6,-7.896,major,0.0265,0.547,1.78E-06,0.217,0.73,114.665,156960,4,0
0.772,0.805,5,-8.363,minor,0.0848,0.116,0.000349,0.0759,0.655,122.95,249133,4,1
0.717,0.347,11,-10.265,minor,0.0636,0.0511,2.43E-06,0.087,0.0593,84.987,235477,4,0
0.558,0.925,0,-3.83,major,0.0335,0.308,0,0.416,0.934,136.696,196013,4,0
0.504,0.515,9,-8.145,major,0.0355,0.00758,7.77E-06,0.111,0.514,87.883,195427,4,1
0.522,0.526,0,-8.79,major,0.0354,0.0283,0.000376,0.131,0.519,203.669,191093,4,1
0.597,0.974,1,-4.905,major,0.0419,0.0107,0.294,0.0998,0.407,128.024,288750,4,0
0.696,0.491,3,-10.062,minor,0.106,0.103,1.89E-06,0.131,0.425,122.095,226326,4,0
0.721,0.925,4,-3.208,minor,0.196,0.00171,0.0545,0.547,0.352,111.961,197442,4,0
0.588,0.54,11,-6.27,major,0.0245,0.31,0,0.297,0.39,102.019,128404,3,1
0.727,0.323,10,-14.334,major,0.0368,0.514,0.00556,0.0593,0.645,86.019,203733,4,0
0.758,0.71,7,-5.325,major,0.0315,0.0321,4.88E-06,0.332,0.962,124.069,160827,4,0
0.986,0.769,8,-6.699,major,0.302,0.794,0,0.189,0.95,117.945,143053,4,0
0.25,0.144,7,-12.935,major,0.041,0.893,0,0.296,0.264,175.22,211733,3,1
0.711,0.292,4,-15.523,minor,0.037,0.313,0,0.131,0.192,103.951,296800,4,1
0.523,0.633,2,-7.408,major,0.0324,0.335,1.31E-05,0.103,0.236,123.631,272133,4,1
0.84,0.707,9,-6.957,major,0.0514,0.0973,0,0.27,0.717,129.532,202200,4,0
0.646,0.314,0,-8.999,major,0.0345,0.778,0.00071,0.123,0.435,149.97,184480,4,1
0.771,0.685,1,-4.639,major,0.0567,0.00543,0.00157,0.0537,0.683,88.997,230200,4,0
0.249,0.564,4,-6.576,minor,0.101,0.706,0.369,0.364,0.329,78.576,208147,4,1
0.66,0.629,5,-12.359,major,0.0387,0.432,7.30E-05,0.172,0.337,111.926,340867,4,1
0.302,0.327,9,-12.193,major,0.0556,0.0625,0.000245,0.162,0.233,167.291,154231,4,0
0.605,0.92,4,-2.298,minor,0.0713,0.0012,0.000596,0.483,0.22,174.974,200787,4,0
0.648,0.475,6,-7.301,major,0.118,0.201,0,0.127,0.277,143.599,166840,4,1
0.606,0.417,0,-7.985,major,0.0296,0.324,3.53E-05,0.149,0.455,115.354,221693,4,1
0.441,0.752,11,-6.976,minor,0.57,0.241,0,0.408,0.427,163.987,226829,4,0
0.21,0.0381,9,-25.335,major,0.0475,0.952,0.00973,0.0787,0.0576,84.434,411520,4,1
0.541,0.584,10,-6.405,minor,0.0632,0.313,1.38E-06,0.0898,0.604,89.975,219067,4,0
0.437,0.285,0,-10.683,major,0.0324,0.954,0.0679,0.113,0.275,87.91,181053,4,1
0.602,0.796,0,-3.657,minor,0.103,0.0682,0.12,0.15,0.261,126.06,245053,4,1
0.599,0.902,2,-6.375,major,0.0373,0.00559,0.00324,0.136,0.468,152.037,233680,4,1
0.342,0.243,8,-20.631,major,0.0327,0.839,0.894,0.108,0.235,143.985,335667,4,1
0.587,0.677,8,-5.915,major,0.0721,0.196,2.13E-06,0.316,0.277,107.003,284359,4,0
0.217,0.305,1,-9.495,major,0.0321,0.885,0.00271,0.201,0.123,82.848,292400,4,1
0.619,0.876,0,-3.347,major,0.0438,0.243,0,0.0752,0.782,111.847,149773,4,1
0.302,0.207,1,-11.696,major,0.0359,0.886,0.00832,0.247,0.298,139.695,348640,4,1
0.183,0.0156,6,-22.938,minor,0.0484,0.981,0.225,0.0676,0.04,85.13,482333,3,1
0.507,0.795,9,-6.966,major,0.0607,0.597,0,0.296,0.903,165.54,183573,4,0
0.787,0.256,7,-11.895,major,0.371,0.912,0,0.164,0.834,121.014,187933,4,0
0.765,0.857,6,-3.811,minor,0.0495,0.000969,0.67,0.131,0.527,127.041,221797,3,1
0.694,0.832,5,-3.038,minor,0.0598,0.0192,0,0.355,0.431,135.011,220238,4,0
0.671,0.742,10,-4.768,minor,0.368,0.451,4.38E-06,0.101,0.762,89.835,283787,4,0
0.666,0.948,10,-2.776,major,0.0638,0.137,0,0.192,0.548,100.996,211931,4,0
0.757,0.398,10,-15.444,major,0.0289,0.243,0.0649,0.182,0.587,105.867,272333,4,1
0.548,0.564,9,-6.662,minor,0.105,0.671,0,0.11,0.621,95.154,224867,4,1
0.588,0.859,7,-7.554,major,0.0426,0.24,0.00615,0.125,0.902,153.272,227788,4,1
0.681,0.835,5,-4.426,major,0.0642,0.0574,0,0.223,0.601,132.059,182507,4,0
0.533,0.753,0,-5.599,major,0.0361,0.00583,0.00556,0.103,0.331,137.959,209613,4,1
0.542,0.727,1,-5.268,minor,0.0849,0.135,0,0.328,0.568,150.098,231360,4,0
0.524,0.598,7,-8.915,major,0.0285,0.703,0,0.144,0.725,109.602,201360,4,0
0.664,0.841,5,-6.939,minor,0.162,0.0993,0,0.122,0.879,119.978,215560,4,0
0.402,0.27,7,-10.016,major,0.0483,0.766,0,0.0896,0.375,112.167,192467,3,1
0.429,0.76,7,-5.434,major,0.327,0.019,0,0.102,0.541,78.26,184753,4,0
0.429,0.817,6,-2.491,minor,0.0541,0.000581,0.0328,0.0842,0.569,84.979,229373,4,0
0.58,0.101,10,-15.661,major,0.0289,0.934,0.000302,0.0768,0.296,91.003,187427,3,1
0.551,0.491,5,-6.873,minor,0.0313,0.549,0,0.121,0.363,136.926,223840,4,1
0.779,0.666,5,-7.361,major,0.0482,0.194,0.000556,0.0576,0.52,123.024,161322,4,0
0.67,0.612,3,-6.53,major,0.0273,0.392,7.56E-05,0.127,0.494,134.983,127507,4,1
0.863,0.576,5,-5.687,minor,0.239,0.124,0,0.143,0.839,132.054,236293,4,0
0.769,0.793,11,-4.25,major,0.0278,0.0206,0,0.0388,0.606,99.649,223187,4,0
0.304,0.139,0,-18.236,minor,0.0327,0.958,0.468,0.092,0.261,84.272,154600,4,1
0.477,0.776,1,-5.056,major,0.0349,0.0155,0.00314,0.203,0.424,131.004,276720,4,1
0.503,0.896,5,-6.567,minor,0.204,0.0468,0,0.716,0.659,81.191,296512,4,0
0.978,0.787,2,-2.79,major,0.0394,0.0023,4.60E-06,0.102,0.593,116.006,254467,4,0
0.663,0.856,0,-4.083,major,0.0418,0.246,9.84E-05,0.218,0.522,170.042,184947,4,0
0.351,0.137,10,-29.601,major,0.0693,0.994,0.0646,0.171,0.534,78.375,124760,4,1
0.763,0.807,1,-3.714,major,0.035,0.0714,0.28,0.348,0.544,103.038,229640,3,0
0.595,0.84,0,-5.012,major,0.0466,0.0262,0.00257,0.2,0.465,130.021,235107,4,1
0.698,0.945,9,-4.803,major,0.367,0.031,0.00223,0.255,0.613,160.017,145400,4,0
0.504,0.0241,2,-18.841,major,0.0361,0.962,0.784,0.162,0.121,124.644,218267,4,1
0.518,0.783,2,-4.88,major,0.0406,0.215,9.53E-06,0.14,0.143,125.985,214067,4,1
0.472,0.473,2,-8.533,major,0.0304,0.308,0,0.147,0.236,80.002,234960,3,1
0.851,0.609,4,-6.315,major,0.409,0.0163,0,0.0724,0.62,128.032,226547,4,0
0.711,0.761,6,-7.267,major,0.233,0.598,0.127,0.134,0.526,160.738,199343,4,0
0.306,0.377,1,-8.09,major,0.0344,0.737,0,0.0365,0.231,85.714,353920,4,1
0.157,0.195,10,-18.487,major,0.0438,0.932,0.93,0.122,0.179,177.964,198531,4,1
0.548,0.661,0,-8.326,minor,0.0413,0.307,0.0162,0.092,0.393,166.005,216240,4,1
0.628,0.882,1,-5.024,minor,0.0323,0.259,0,0.065,0.848,95.083,184413,4,1
0.557,0.466,5,-14.706,major,0.034,0.833,0.928,0.0675,0.877,118.83,184227,4,1
0.665,0.446,1,-11.884,major,0.0439,0.57,0.000669,0.082,0.17,141.94,230867,4,1
0.592,0.18,5,-15.15,major,0.354,0.843,0,0.131,0.448,182.25,33840,3,0
0.626,0.667,9,-6.484,major,0.0739,0.17,0,0.112,0.861,89.233,188467,4,0
0.646,0.916,9,-4.115,minor,0.206,0.669,4.18E-05,0.0987,0.463,180.068,283423,3,0
0.686,0.567,9,-10.993,major,0.0278,0.0749,1.23E-06,0.611,0.632,103.976,240080,4,1
0.764,0.906,7,-6.041,minor,0.0523,0.00686,0,0.257,0.602,128.043,212707,4,1
0.615,0.61,9,-10.615,major,0.0308,0.51,7.98E-05,0.251,0.859,90.081,240746,4,1
0.694,0.358,4,-15.888,major,0.032,0.817,0.27,0.113,0.946,105.089,118805,4,1
0.547,0.854,2,-3.763,major,0.0299,0.00347,0.0336,0.323,0.347,110.047,286800,4,1
0.818,0.653,1,-8.396,major,0.204,0.0335,5.46E-06,0.22,0.534,99.931,261133,4,0
0.323,0.0461,0,-27.817,major,0.0427,0.946,0.0164,0.165,0.311,123.772,100133,4,1
0.567,0.456,2,-6.062,major,0.0261,0.529,0,0.177,0.304,90.035,214133,4,1
0.764,0.262,1,-17.074,minor,0.446,0.455,0.0249,0.104,0.325,80.047,224000,4,0
0.744,0.861,1,-3.51,minor,0.0936,0.0455,0,0.321,0.707,129.88,205880,4,0
0.762,0.819,7,-4.459,major,0.0897,0.129,0,0.334,0.613,81.981,227030,4,0
0.519,0.495,6,-11.002,minor,0.101,0.124,0.00626,0.183,0.259,95.078,242227,4,1
0.603,0.321,2,-11.489,major,0.0599,0.881,0,0.34,0.861,143.104,155600,4,1
0.334,0.177,9,-13.759,major,0.0376,0.863,0,0.113,0.168,132.605,341040,4,1
0.35,0.0652,3,-22.807,major,0.0431,0.977,0.252,0.219,0.138,144.171,261107,1,1
0.425,0.562,2,-6.428,minor,0.0278,0.359,4.68E-05,0.103,0.477,81.016,238587,4,1
